"id","question","expected_answer","category","difficulty","source_document"
"1","Which company is the cover letter addressed to?","Sarvam AI","direct","easy","coverletter.docx"
"2","Which university did the applicant graduate from?","NIT Bhopal","direct","easy","coverletter.docx"
"3","What is the applicant's current employer?","HCLTech","direct","easy","coverletter.docx"
"4","Which client does the applicant work for?","Meta","direct","easy","coverletter.docx"
"5","How many years of experience are mentioned?","1.5 years","direct","easy","coverletter.docx"
"6","Which backend framework is mentioned?","FastAPI","direct","easy","coverletter.docx"
"7","Which vector database is mentioned?","ChromaDB","direct","easy","coverletter.docx"
"8","Which local LLM is mentioned?","Ollama","direct","easy","coverletter.docx"
"9","Which authentication method is mentioned?","JWT authentication","direct","easy","coverletter.docx"
"10","What AI project is highlighted?","A local Retrieval-Augmented Generation (RAG) REST API.","direct","medium","coverletter.docx"
"11","Why is the applicant a good fit for Sarvam AI?","Because of experience in AI workflows, RAG, FastAPI, and production-ready backend development.","reasoning","hard","coverletter.docx"
"12","What technologies were used in the RAG project?","FastAPI, ChromaDB, Ollama and Pydantic v2.","reasoning","medium","coverletter.docx"
"13","What production-ready backend features are mentioned?","Async REST APIs, Async SQLAlchemy, JWT authentication and CDN integration.","reasoning","hard","coverletter.docx"
"14","How many coding problems has the applicant solved?","600+","direct","easy","coverletter.docx"
"15","What programming language is emphasized?","Python","direct","easy","coverletter.docx"
"16","What is the applicant's CGPA?","The document does not provide this information.","negative","easy","coverletter.docx"
"17","Which cloud platform is primarily used?","The document does not provide this information.","negative","medium","coverletter.docx"
"18","Does the document mention Kubernetes?","No.","negative","easy","coverletter.docx"
"19","Does the document mention Redis?","No.","negative","easy","coverletter.docx"
"20","Summarize the applicant's technical strengths.","AI/LLM integration, FastAPI, RAG, Async APIs, JWT, production-ready backend engineering.","reasoning","hard","coverletter.docx"
